Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
BZ* - 154,Ahmedabad,04:20,05:50,Blue Dart Aviation
AY - 121,Helsinki,18:35,06:05,Finnair
SU - 232,Moscow,19:10,06:15,Aeroflot
PS - 391,Kiev/Kyiv,20:55,06:20,UIA
6E - 6683,Ahmedabad,05:00,06:40,IndiGo
6E - 2475,Bengaluru,04:00,06:50,IndiGo
WY - 241,Muscat,02:20,06:55,Oman Air
6E - 6606,Jaipur,06:00,06:55,IndiGo
6E - 308,Hyderabad,04:35,06:55,IndiGo
ET - 3739,Shanghai,02:30,07:00,Ethiopian Airlines
I5* - 729,Pune,05:10,07:15,AirAsia India
6E - 863,Pune,04:55,07:15,IndiGo
UK* - 954,Mumbai,05:20,07:25,Vistara
6E - 769,Lucknow,06:15,07:25,IndiGo
QR - 8660,Doha,01:15,07:30,Qatar Airways
6E - 2489,Bhubaneswar,05:10,07:35,IndiGo
6E - 2652,Chennai,05:00,07:45,IndiGo
6E - 738,Hyderabad,05:25,07:45,IndiGo
SG - 8194,Ahmedabad,06:05,07:45,SpiceJet
6E - 158,Ahmedabad,06:15,07:50,IndiGo
AI - 454,Amritsar,06:50,07:55,Air India
UL - 3606,Amritsar,06:50,07:55,SriLankan Airlines
JL - 5280,Pune,05:55,07:55,JAL
BA - 5886,Pune,05:55,07:55,British Airways
G8 - 421,Hyderabad,05:35,07:55,GoAir
G8 - 227,Kolkata,05:45,07:55,GoAir
UK* - 990,Pune,05:55,07:55,Vistara
AI - 444,Chandigarh,07:05,08:00,Air India
SG - 471,Hyderabad,05:40,08:00,SpiceJet
TK - 4655,Amritsar,06:55,08:05,Turkish Airlines
6E - 2525,Amritsar,06:55,08:05,IndiGo
TK - 4652,Ahmedabad,06:15,08:05,Turkish Airlines
6E - 12,Ahmedabad,06:15,08:05,IndiGo
UK* - 860,Hyderabad,06:05,08:05,Vistara
SG - 160,Mumbai,06:00,08:05,SpiceJet
ET - 686,Addis Ababa,22:55,08:10,Ethiopian Airlines
TP - 7032,Rome,20:40,08:10,TAP Portugal
AI - 122,Rome,20:40,08:10,Air India
G8 - 329,Mumbai,06:00,08:10,GoAir
AI - 7552,Addis Ababa,22:55,08:10,Air India
6E - 6613,Mumbai,06:05,08:15,IndiGo
9W - 762,Mumbai,06:00,08:20,Jet Airways (India)
EY - 228,Abu Dhabi,02:40,08:20,Etihad Airways
AI - 824,Vadodara,06:50,08:20,Air India
G8 - 216,Leh,06:50,08:20,GoAir
KL - 3800,Mumbai,06:00,08:20,KLM
6E - 6013,Indore,06:45,08:25,IndiGo
TK - 4657,Kolkata,05:55,08:25,Turkish Airlines
FQA - 217,Chennai,05:45,08:25,Quikjet
6E - 474,Kolkata,05:55,08:25,IndiGo
SG - 8951,Kochi,05:30,08:30,SpiceJet
6E - 2043,Jaipur,07:20,08:35,IndiGo
6E - 2591,Vadodara,07:00,08:35,IndiGo
SG - 136,Bengaluru,05:55,08:35,SpiceJet
QR - 570,Doha,02:10,08:40,Qatar Airways
TK - 4682,Ahmedabad,07:00,08:40,Turkish Airlines
CD - 858,Dehra Dun,07:45,08:40,Alliance Air
6E - 962,Ahmedabad,07:00,08:40,IndiGo
AI - 18,Ahmedabad,07:10,08:45,Air India
I5* - 2878,Bengaluru,06:15,08:45,AirAsia India
6E - 2132,Bengaluru,06:00,08:50,IndiGo
TK - 4675,Bengaluru,06:00,08:50,Turkish Airlines
AI - 158,Copenhagen,20:40,08:50,Air India
AI - 168,Stockholm,20:40,08:50,Air India
CD - 646,Dehra Dun,08:15,08:55,Alliance Air
I5* - 753,Indore,07:35,08:55,AirAsia India
AI - 440,Chennai,06:10,08:55,Air India
AC - 6431,Chennai,06:10,08:55,Air Canada
AI - 804,Bengaluru,06:10,08:55,Air India
AI - 9646,Dehra Dun,08:15,08:55,Air India
AI - 498,Rajkot,07:35,08:55,Air India
6E - 2323,Udaipur,07:35,09:00,IndiGo
AI - 559,Hyderabad,06:45,09:00,Air India
6E - 455,Chandigarh,07:55,09:05,IndiGo
AI - 864,Mumbai,07:00,09:05,Air India
EK - 510,Dubai,03:50,09:05,Emirates
6E - 2224,Mumbai,06:30,09:10,IndiGo
SG - 2469,Dharamsala,07:55,09:10,SpiceJet
6E - 516,Kochi,06:05,09:15,IndiGo
SG - 2472,Dehra Dun,08:25,09:15,SpiceJet
AI - 763,Kolkata,06:55,09:15,Air India
TK - 4666,Chennai,06:30,09:20,Turkish Airlines
SG - 122,Leh,07:40,09:20,SpiceJet
6E - 2976,Chennai,06:30,09:20,IndiGo
SQ - 4702,Kolkata,07:10,09:25,Singapore Airlines
I5* - 716,Srinagar,07:55,09:25,AirAsia India
TK - 4688,Kolkata,07:00,09:25,Turkish Airlines
AI - 436,Bhopal,08:00,09:25,Air India
UK* - 720,Kolkata,07:10,09:25,Vistara
BA - 5858,Kolkata,07:10,09:25,British Airways
JL - 5282,Kolkata,07:10,09:25,JAL
MI - 5201,Kolkata,07:10,09:25,SilkAir
6E - 6324,Kolkata,07:00,09:25,IndiGo
AI - 494,Surat Gujarat,07:45,09:30,Air India
LH - 7252,Frankfurt,21:15,09:35,Lufthansa
SG - 152,Mumbai,07:20,09:35,SpiceJet
JP - 9420,Frankfurt,21:15,09:35,Adria Airways
AI - 120,Frankfurt,21:15,09:35,Air India
AI - 142,Paris,22:00,09:35,Air India
AC - 6394,Paris,22:00,09:35,Air Canada
SG - 8624,Bhopal,08:15,09:35,SpiceJet
BA - 257,London,19:25,09:35,British Airways
